fname,w,h,lazul_x,lazul_y,lazul_w,lazul_h,lverde_x,lverde_y,lverde_w,lverde_h,vazam_x,vazam_y,vazam_w,vazam_h,vamve_x,vamve_y,vamve_w,vamve_h
2019-04-06-13-44-20-000033.jpg,640.0,480.0,243.0,150.0,60.0,79.0,271.0,13.0,57.0,41.0,,,,,,,,
2019-04-06-13-44-20-000067.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,14.0,55.0,40.0,,,,,,,,
2019-04-06-13-44-20-000100.jpg,640.0,480.0,244.0,150.0,60.0,79.0,270.0,13.0,57.0,41.0,,,,,,,,
2019-04-06-13-44-20-000134.jpg,640.0,480.0,244.0,151.0,60.0,79.0,270.0,14.0,55.0,40.0,,,,,,,,
2019-04-06-13-44-20-000167.jpg,640.0,480.0,245.0,151.0,58.0,77.0,270.0,14.0,57.0,41.0,,,,,,,,
2019-04-06-13-44-20-000201.jpg,640.0,480.0,245.0,151.0,58.0,77.0,270.0,13.0,57.0,41.0,,,,,,,,
2019-04-06-13-44-20-000234.jpg,640.0,480.0,244.0,150.0,60.0,79.0,270.0,13.0,56.0,40.0,,,,,,,,
2019-04-06-13-44-20-000268.jpg,640.0,480.0,245.0,151.0,58.0,77.0,269.0,12.0,59.0,42.0,,,,,,,,
2019-04-06-13-44-20-000301.jpg,640.0,480.0,244.0,150.0,60.0,79.0,270.0,13.0,56.0,40.0,,,,,,,,
2019-04-06-13-44-20-000335.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-000368.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-000402.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-000435.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-000469.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-000502.jpg,640.0,480.0,244.0,150.0,60.0,79.0,270.0,13.0,55.0,40.0,,,,,,,,
2019-04-06-13-44-20-000536.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-000569.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,14.0,53.0,38.0,,,,,,,,
2019-04-06-13-44-20-000603.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-000636.jpg,640.0,480.0,244.0,150.0,60.0,79.0,270.0,13.0,56.0,40.0,,,,,,,,
2019-04-06-13-44-20-000670.jpg,640.0,480.0,244.0,150.0,60.0,79.0,270.0,13.0,56.0,40.0,,,,,,,,
2019-04-06-13-44-20-000703.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-000737.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-000770.jpg,640.0,480.0,244.0,150.0,60.0,79.0,270.0,13.0,55.0,40.0,,,,,,,,
2019-04-06-13-44-20-000804.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-000837.jpg,640.0,480.0,245.0,151.0,58.0,77.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-000871.jpg,640.0,480.0,245.0,151.0,58.0,77.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-000904.jpg,640.0,480.0,245.0,150.0,60.0,79.0,270.0,13.0,56.0,40.0,,,,,,,,
2019-04-06-13-44-20-000938.jpg,640.0,480.0,245.0,151.0,58.0,77.0,270.0,13.0,56.0,40.0,,,,,,,,
2019-04-06-13-44-20-000971.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-001005.jpg,640.0,480.0,245.0,151.0,58.0,77.0,271.0,14.0,54.0,39.0,,,,,,,,
2019-04-06-13-44-20-001038.jpg,640.0,480.0,244.0,150.0,60.0,79.0,271.0,13.0,55.0,40.0,,,,,,,,
